Number,Extractant,Extractant Name,Phenyl Rings,Upper Rim,Lower Rim,Methylene Bridge,Extracted Name,Extractant Conc,Extracted Conc,Spectator Ions,Chemical Groups,Acid Molarity,Extraction Efficiency
1,TOPO,,None,None,None,None,Th(IV),0.0001,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,0
2,TOPO,,None,None,None,None,Th(IV),0.0005,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,0
3,TOPO,,None,None,None,None,Th(IV),0.001,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,0
4,TOPO,,None,None,None,None,Th(IV),0.005,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,1.4
5,TOPO,,None,None,None,None,Th(IV),0.01,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,10.2
6,TOPO,,None,None,None,None,Th(IV),0.025,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,64.2
7,TOPO,,None,None,None,None,Eu(III),0.025,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,18
8,CMPO,,None,None,None,None,Th(IV),0.0001,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,0
9,CMPO,,None,None,None,None,Th(IV),0.0005,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,0
10,CMPO,,None,None,None,None,Th(IV),0.001,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,0
11,CMPO,,None,None,None,None,Th(IV),0.005,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,1.6
12,CMPO,,None,None,None,None,Th(IV),0.01,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,12.2
13,CMPO,,None,None,None,None,Th(IV),0.025,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,70.4
14,CMPO,,None,None,None,None,Eu(III),0.025,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,69.5
15,1a,,4,t-butyl,(CH2)2P(PH)2O,None,Th(IV),0.0001,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,0
16,1a,,4,t-butyl,(CH2)2P(PH)2O,None,Th(IV),0.0005,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,5.6
17,1a,,4,t-butyl,(CH2)2P(PH)2O,None,Th(IV),0.001,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,26.8
18,1a,,4,t-butyl,(CH2)2P(PH)2O,None,Th(IV),0.005,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,96.1
19,1a,,4,t-butyl,(CH2)2P(PH)2O,None,Th(IV),0.01,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,100
20,1a,,4,t-butyl,(CH2)2P(PH)2O,None,Th(IV),0.025,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,100
21,1a,,4,t-butyl,(CH2)2P(PH)2O,None,Eu(III),0.025,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,0
22,1b,,6,t-butyl,(CH2)2P(PH)2O,None,Th(IV),0.0001,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,0
23,1b,,6,t-butyl,(CH2)2P(PH)2O,None,Th(IV),0.0005,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,23.6
24,1b,,6,t-butyl,(CH2)2P(PH)2O,None,Th(IV),0.001,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,62.5
25,1b,,6,t-butyl,(CH2)2P(PH)2O,None,Th(IV),0.005,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,98.8
26,1b,,6,t-butyl,(CH2)2P(PH)2O,None,Th(IV),0.01,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,100
27,1b,,6,t-butyl,(CH2)2P(PH)2O,None,Th(IV),0.025,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,100
28,1b,,6,t-butyl,(CH2)2P(PH)2O,None,Eu(III),0.025,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,20.8
29,1c,,8,t-butyl,(CH2)2P(PH)2O,None,Th(IV),0.0001,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,0
30,1c,,8,t-butyl,(CH2)2P(PH)2O,None,Th(IV),0.0005,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,0
31,1c,,8,t-butyl,(CH2)2P(PH)2O,None,Th(IV),0.001,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,0
32,1c,,8,t-butyl,(CH2)2P(PH)2O,None,Th(IV),0.005,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,30.6
33,1c,,8,t-butyl,(CH2)2P(PH)2O,None,Th(IV),0.01,0.0001,"NO3(2-), dichloromethane, H2O",None,1M HNO3,60.1
