Phenyl Rings,Upper Rim,Lower Rim,Methylene Bridge,Extracted Name,Extractant Conc,Extracted Conc,ion NO3(2-),ions dichloromethane,ions picarate,Chemical Groups,Acid Molarity,Extraction Efficiency
6,7,14,3,20,0.0001,0.0001,1,1,0,6,1,0.0
6,7,14,3,20,0.0005,0.0001,1,1,0,6,1,0.0
6,7,14,3,20,0.001,0.0001,1,1,0,6,1,0.0
6,7,14,3,20,0.005,0.0001,1,1,0,6,1,1.4
6,7,14,3,20,0.01,0.0001,1,1,0,6,1,10.2
6,7,14,3,20,0.025,0.0001,1,1,0,6,1,64.2
6,7,14,3,6,0.025,0.0001,1,1,0,6,1,18.0
6,7,14,3,20,0.0001,0.0001,1,1,0,6,1,0.0
6,7,14,3,20,0.0005,0.0001,1,1,0,6,1,0.0
6,7,14,3,20,0.001,0.0001,1,1,0,6,1,0.0
6,7,14,3,20,0.005,0.0001,1,1,0,6,1,1.6
6,7,14,3,20,0.01,0.0001,1,1,0,6,1,12.2
6,7,14,3,20,0.025,0.0001,1,1,0,6,1,70.4
6,7,14,3,6,0.025,0.0001,1,1,0,6,1,69.5
2,9,7,3,20,0.0001,0.0001,1,1,0,6,1,0.0
2,9,7,3,20,0.0005,0.0001,1,1,0,6,1,5.6
2,9,7,3,20,0.001,0.0001,1,1,0,6,1,26.8
2,9,7,3,20,0.005,0.0001,1,1,0,6,1,96.1
2,9,7,3,20,0.01,0.0001,1,1,0,6,1,100.0
2,9,7,3,20,0.025,0.0001,1,1,0,6,1,100.0
2,9,7,3,6,0.025,0.0001,1,1,0,6,1,0.0
4,9,7,3,20,0.0001,0.0001,1,1,0,6,1,0.0
4,9,7,3,20,0.0005,0.0001,1,1,0,6,1,23.6
4,9,7,3,20,0.001,0.0001,1,1,0,6,1,62.5
4,9,7,3,20,0.005,0.0001,1,1,0,6,1,98.8
4,9,7,3,20,0.01,0.0001,1,1,0,6,1,100.0
4,9,7,3,20,0.025,0.0001,1,1,0,6,1,100.0
4,9,7,3,6,0.025,0.0001,1,1,0,6,1,20.8
5,9,7,3,20,0.0001,0.0001,1,1,0,6,1,0.0
5,9,7,3,20,0.0005,0.0001,1,1,0,6,1,0.0
5,9,7,3,20,0.001,0.0001,1,1,0,6,1,0.0
5,9,7,3,20,0.005,0.0001,1,1,0,6,1,30.6
5,9,7,3,20,0.01,0.0001,1,1,0,6,1,60.1
5,9,7,3,20,0.025,0.0001,1,1,0,6,1,88.4
5,9,7,3,6,0.025,0.0001,1,1,0,6,1,0.0
2,6,7,3,20,0.0001,0.0001,1,1,0,6,1,2.6
2,6,7,3,20,0.0005,0.0001,1,1,0,6,1,46.9
